molecule,noise_spectral_norm,trial,lambda_min_S,dF_tilde_norm,dF_loose_norm,loose_over_sharp,delta0_Ha,sin_theta_obs,dk_bound_sharp,dk_bound_loose,dk_sharp_holds,dk_sharp_tightness,deps_obs_Ha,weyl_sharp,weyl_loose,weyl_sharp_holds,weyl_sharp_tightness,s_B
water,0.001,12,0.03756519597141745,0.004908494230599125,0.0266203855494559,5.423330312482948,0.15150120111621895,0.001866845628046265,0.033483891080809486,0.21316633326456988,True,17.936079222496737,0.0015223652558946366,0.004908494230599125,0.0266203855494559,True,3.2242552906362727,0.0011868996947460588
water,0.001,13,0.03756519597141745,0.005923953980408345,0.0266203855494559,4.49368540631724,0.15150120111621895,0.0010884069054149861,0.04069285617746174,0.21316633326456988,True,37.38753950844003,0.00011985908725314909,0.005923953980408345,0.0266203855494559,True,49.4243208101245,0.0008125935254746326
water,0.001,14,0.03756519597141745,0.006499771550599502,0.0266203855494559,4.0955878744693095,0.15150120111621895,0.002041785381054655,0.04482556875522439,0.21316633326456988,True,21.95410407536094,0.0004917317410069247,0.006499771550599502,0.0266203855494559,True,13.218124860701174,0.0012101874585709015
water,0.001,15,0.03756519597141745,0.0065379562308999105,0.0266203855494559,4.071667752017325,0.15150120111621895,0.0015683943907804892,0.04510078562377734,0.21316633326456988,True,28.756023286549485,0.0003650455751592341,0.0065379562308999105,0.0266203855494559,True,17.90997255081926,0.0008723231691282176
water,0.001,16,0.03756519597141745,0.003988438556742079,0.0266203855494559,6.674387776253103,0.15150120111621895,0.001522265414536222,0.027037921923087488,0.21316633326456988,True,17.761634511892883,0.00010828591940215126,0.003988438556742079,0.0266203855494559,True,36.83247626988189,0.0010901349478843014
water,0.001,17,0.03756519597141745,0.006682990633147673,0.0266203855494559,3.9833043334549405,0.15150120111621895,0.002177691893904153,0.04614744658738129,0.21316633326456988,True,21.190989743112112,0.00013471133668260804,0.006682990633147673,0.0266203855494559,True,49.6097121275947,0.001276530857137259
water,0.001,18,0.03756519597141745,0.008486758795464093,0.0266203855494559,3.136696375026431,0.15150120111621895,0.0030195175695823242,0.05934197034751125,0.21316633326456988,True,19.652798495131705,0.0009635241586486085,0.008486758795464093,0.0266203855494559,True,8.808039444872044,0.0016651104048862593
water,0.001,19,0.03756519597141745,0.005299695071086424,0.0266203855494559,5.023003246863935,0.15150120111621895,0.0019786184962782673,0.036249250876050514,0.21316633326456988,True,18.320485199261235,0.00046315049768810845,0.005299695071086424,0.0266203855494559,True,11.442706199260758,0.0012762379840524146
water,0.01,0,0.03756519597141745,0.041493548697118986,0.266203855494559,6.41554805152258,0.15150120111621895,0.019146411659185607,0.3771878390699547,inf,True,19.700184336577582,0.008802734449356725,0.041493548697118986,0.266203855494559,True,4.713711283219636,0.011463754824520889
water,0.01,1,0.03756519597141745,0.042593047689889,0.266203855494559,6.2499367838792175,0.15150120111621895,0.016697097420322764,0.3910914504550913,inf,True,23.422720764572944,0.0030949720177566586,0.042593047689889,0.266203855494559,True,13.762013822910715,0.010201408074737435
water,0.01,2,0.03756519597141745,0.04230070103824367,0.266203855494559,6.293131058369141,0.15150120111621895,0.015815863545021208,0.3873672831904487,inf,True,24.492325827658707,0.004139013568755429,0.04230070103824367,0.266203855494559,True,10.219995739459048,0.010250005182643109
water,0.01,3,0.03756519597141745,0.06597131816488178,0.266203855494559,4.035145316169628,0.15150120111621895,0.018140083570993823,0.7713247801638711,inf,True,42.52046453618478,0.009502407850729519,0.06597131816488178,0.266203855494559,True,6.942589625830155,0.011041341977923976
water,0.01,4,0.03756519597141745,0.09401364430187306,0.266203855494559,2.8315449046926835,0.15150120111621895,0.012829106146872833,1.6353738010729335,inf,True,127.47371347235794,0.0030161546612421097,0.09401364430187306,0.266203855494559,True,31.17003431884904,0.007904397780101753
water,0.01,5,0.03756519597141745,0.0703797853022937,0.266203855494559,3.7823908434952744,0.15150120111621895,0.02044010404099561,0.8675857613694701,inf,True,42.44527129751396,0.0033366326432111015,0.0703797853022937,0.266203855494559,True,21.093057830472386,0.012427092895939703
water,0.01,6,0.03756519597141745,0.05562472641204004,0.266203855494559,4.785710827998587,0.15150120111621895,0.01729103576685736,0.5801707518311117,inf,True,33.55326769626812,0.007149114484469449,0.05562472641204004,0.266203855494559,True,7.780645635606725,0.010147192959332352
water,0.01,7,0.03756519597141745,0.053535598015147665,0.266203855494559,4.972464404324722,0.15150120111621895,0.019290936352397665,0.5464734184294756,inf,True,28.327988255559955,0.001955317217545882,0.053535598015147665,0.266203855494559,True,27.37949501735589,0.011251102635961971
water,0.01,8,0.03756519597141745,0.04718910964753641,0.266203855494559,5.641213777561845,0.15150120111621895,0.012133691244998593,0.4523838893758921,inf,True,37.28328669664814,0.0029042640999335234,0.04718910964753641,0.266203855494559,True,16.248215735138047,0.00779884826332767
water,0.01,9,0.03756519597141745,0.050452412672455434,0.266203855494559,5.276335489103247,0.15150120111621895,0.012789721442849665,0.49928765549261,inf,True,39.03819623622422,0.005103234716311772,0.050452412672455434,0.266203855494559,True,9.886359432222742,0.008785125607316672
water,0.01,10,0.03756519597141745,0.08509812177341154,0.266203855494559,3.1281989537133708,0.15150120111621895,0.025690640821521334,1.2815387872916337,inf,True,49.88348855113316,0.005444746453707169,0.08509812177341154,0.266203855494559,True,15.629400284648831,0.015391534088740683
water,0.01,11,0.03756519597141745,0.07915470058888753,0.266203855494559,3.3630833483555764,0.15150120111621895,0.027704099529459417,1.0941054510160317,inf,True,39.492546937055444,0.004150067626349743,0.07915470058888753,0.266203855494559,True,19.073111022653208,0.017023173479098312
water,0.01,12,0.03756519597141745,0.054313319485804486,0.266203855494559,4.901262858075448,0.15150120111621895,0.02375030776950223,0.5588486812825787,inf,True,23.53016587011122,0.0052113463016034145,0.054313319485804486,0.266203855494559,True,10.422128245266197,0.015630490403670157
water,0.01,13,0.03756519597141745,0.0391065782441482,0.266203855494559,6.807137505935923,0.15150120111621895,0.009724194202171485,0.3479399391611456,inf,True,35.78085051853942,0.0008779660939319811,0.0391065782441482,0.266203855494559,True,44.54224202327557,0.0066776929091701895
water,0.01,14,0.03756519597141745,0.09708445756594236,0.266203855494559,2.741982209806819,0.15150120111621895,0.01656997054284562,1.784091645914907,inf,True,107.67017607555256,0.0030403969080835813,0.09708445756594236,0.266203855494559,True,31.93150779354545,0.009111165216235948
water,0.01,15,0.03756519597141745,0.09473111999750611,0.266203855494559,2.810099315848552,0.15150120111621895,0.02832656525519748,1.6686803705531494,inf,True,58.90867302547289,0.006522662281192922,0.09473111999750611,0.266203855494559,True,14.523382617960845,0.017509562792954764
water,0.01,16,0.03756519597141745,0.06149981984746007,0.266203855494559,4.328530655127653,0.15150120111621895,0.022509734788198302,0.683320844419171,inf,True,30.35668126918276,0.001764176425426145,0.06149981984746007,0.266203855494559,True,34.86035691277561,0.012519550941767602
water,0.01,17,0.03756519597141745,0.07597664769988696,0.266203855494559,3.503758898998581,0.15150120111621895,0.01368163540319774,1.005986057025227,inf,True,73.52820239531474,0.011849356595244914,0.07597664769988696,0.266203855494559,True,6.4118795893420915,0.009528546090826746
water,0.01,18,0.03756519597141745,0.056676069589473806,0.266203855494559,4.6969357159516205,0.15150120111621895,0.030322575894603396,0.5976903873156082,inf,True,19.711069052744328,0.0060381959486650455,0.056676069589473806,0.266203855494559,True,9.386258755316485,0.01732020199730093
water,0.01,19,0.03756519597141745,0.06013809835255882,0.266203855494559,4.426542620851467,0.15150120111621895,0.018075754542892578,0.6582317865027552,inf,True,36.41517619310521,0.0012281553948209553,0.06013809835255882,0.266203855494559,True,48.96619646516796,0.011380515092501594
methanol,1e-05,0,0.011473472096710347,0.00011062486993419688,0.0008715757458343567,7.8786600730269525,0.03759885551396924,0.00010856044405412433,0.002950922677162919,0.023731018233224786,True,27.18230109386523,1.3942463595470467e-05,0.00011062486993419688,0.0008715757458343567,True,7.934384707314993,5.930361316289549e-05
methanol,1e-05,1,0.011473472096710347,0.00012587324230663123,0.0008715757458343567,6.924233696238399,0.03759885551396924,0.00016093618059899158,0.0033590398915705638,0.023731018233224786,True,20.871875292855133,6.190109820794487e-06,0.00012587324230663123,0.0008715757458343567,True,20.334573367952892,8.393292305567546e-05
methanol,1e-05,2,0.011473472096710347,0.00020024495329889322,0.0008715757458343567,4.352547874369696,0.03759885551396924,0.00026540750790081635,0.0053543420543403185,0.023731018233224786,True,20.174041407831062,1.7728436604386166e-05,0.00020024495329889322,0.0008715757458343567,True,11.295127583294677,0.00013487987288340815
methanol,1e-05,3,0.011473472096710347,0.00018156759819672394,0.0008715757458343567,4.800282398900415,0.03759885551396924,0.000511413914200227,0.004852505574573931,0.023731018233224786,True,9.488411323658463,2.3483097822810106e-05,0.00018156759819672394,0.0008715757458343567,True,7.7318418364871695,0.00025716442940733504
methanol,1e-05,4,0.011473472096710347,8.808135040653384e-05,0.0008715757458343567,9.89512242729766,0.03759885551396924,0.00017551654348991127,0.002348161358186376,0.023731018233224786,True,13.378575668688171,5.050080659166345e-06,8.808135040653384e-05,0.0008715757458343567,True,17.44157298689049,9.060706785341783e-05
methanol,1e-05,5,0.011473472096710347,0.0001266830803393543,0.0008715757458343567,6.879969633668596,0.03759885551396924,0.00028476588821821613,0.0033807242044408647,0.023731018233224786,True,11.8719423368933,4.8711672164247766e-06,0.0001266830803393543,0.0008715757458343567,True,26.006719685622727,0.0001458825823203424
methanol,1e-05,6,0.011473472096710347,0.00017190443134567553,0.0008715757458343567,5.070117966195653,0.03759885551396924,0.00017109750126800916,0.004593065327875094,0.023731018233224786,True,26.844724755392317,1.2975267159251458e-05,0.00017190443134567553,0.0008715757458343567,True,13.248623649579843,9.796401840591866e-05
methanol,1e-05,7,0.011473472096710347,0.00011829474802640306,0.0008715757458343567,7.367831289008904,0.03759885551396924,0.00019146952938340272,0.003156162704318261,0.023731018233224786,True,16.483890227767223,5.3429513235461745e-06,0.00011829474802640306,0.0008715757458343567,True,22.14033796360502,9.675471126216982e-05
methanol,1e-05,8,0.011473472096710347,0.0001875629303986279,0.0008715757458343567,4.646844363019893,0.03759885551396924,0.0003569298215931825,0.005013537823630217,0.023731018233224786,True,14.046284508399781,1.0907989333577839e-05,0.0001875629303986279,0.0008715757458343567,True,17.195004932875833,0.00018007194662220254
methanol,1e-05,9,0.011473472096710347,9.468472716227068e-05,0.0008715757458343567,9.205029913014908,0.03759885551396924,0.00027802977869934546,0.0025246452641362865,0.023731018233224786,True,9.080485104677853,1.7710393721004358e-06,9.468472716227068e-05,0.0008715757458343567,True,53.46280193080942,0.00014085062643829775
methanol,1e-05,10,0.011473472096710347,0.00010509967125617341,0.0008715757458343567,8.292849401117051,0.03759885551396924,9.936906015567938e-05,0.0028031246508636873,0.023731018233224786,True,28.209229779089103,4.78969032853549e-06,0.00010509967125617341,0.0008715757458343567,True,21.942894852726106,6.731621793207301e-05
methanol,1e-05,11,0.011473472096710347,9.906432605515187e-05,0.0008715757458343567,8.798078789221522,0.03759885551396924,0.00025587972887856816,0.00264173007147516,0.023731018233224786,True,10.324108451470321,1.619972687903759e-06,9.906432605515187e-05,0.0008715757458343567,True,61.15184953108122,0.00012907993934676884
methanol,1e-05,12,0.011473472096710347,8.9194946661006e-05,0.0008715757458343567,9.771582118288208,0.03759885551396924,0.00010139304036575372,0.0023779193229688774,0.023731018233224786,True,23.452490569284063,5.626376314515902e-06,8.9194946661006e-05,0.0008715757458343567,True,15.85300052378036,5.397102668659704e-05
methanol,1e-05,13,0.011473472096710347,0.00013887153351798412,0.0008715757458343567,6.276129626821511,0.03759885551396924,0.00013332355340127614,0.0037071968207582568,0.023731018233224786,True,27.806015712770318,2.6906612981936195e-05,0.00013887153351798412,0.0008715757458343567,True,5.161241721922257,8.467515980240748e-05
