id,ckpt,n_atoms,n_heavy,fminus_hat_rho,fminus_hat_top_match,fminus_hat_top_match_tol,fminus_hat_top_rank,fminus_hat_n_top_equiv,fplus_hat_rho,fplus_hat_top_match,fplus_hat_top_match_tol,fplus_hat_top_rank,fplus_hat_n_top_equiv,dual_hat_rho,dual_hat_top_match,dual_hat_top_match_tol,dual_hat_top_rank,dual_hat_n_top_equiv
86584,id,21,9,1.0,True,True,0,1,0.9833333333333333,True,True,0,1,1.0,True,True,0,1
86611,id,20,9,1.0,True,True,0,1,0.9333333333333332,True,True,0,1,0.9833333333333333,True,True,0,1
86629,id,17,9,0.9833333333333333,False,True,1,2,1.0,True,True,0,1,0.9833333333333333,True,True,0,1
86649,id,22,9,1.0,True,True,0,1,0.8333333333333333,True,True,0,4,0.9166666666666666,True,True,0,1
86658,id,21,9,0.9833333333333333,True,True,0,1,0.6666666666666667,True,True,0,2,0.9,False,True,1,3
86661,id,22,9,0.9833333333333333,True,True,0,1,0.9333333333333332,False,True,1,3,0.8833333333333333,True,True,0,1
86668,id,19,9,0.9833333333333333,True,True,0,1,0.6,False,True,2,7,0.9333333333333332,True,True,0,1
86671,id,21,9,0.9833333333333333,True,True,0,1,0.5499999999999999,False,True,5,5,0.8833333333333333,False,True,2,2
86676,id,21,9,0.9833333333333333,True,True,0,1,0.9500000000000001,True,True,0,3,0.8499999999999999,True,True,0,5
86706,id,19,9,0.9833333333333333,True,True,0,1,0.7833333333333333,True,True,0,1,0.8166666666666667,True,True,0,1
86707,id,18,9,1.0,True,True,0,1,0.6333333333333333,True,True,0,2,0.9,False,True,1,2
86709,id,17,9,0.9833333333333333,True,True,0,1,0.9166666666666666,True,True,0,1,0.9666666666666667,True,True,0,2
86710,id,17,9,0.65,False,False,6,1,0.9166666666666666,True,True,0,1,0.8833333333333333,False,False,1,1
86722,id,17,9,1.0,True,True,0,1,0.9166666666666666,True,True,0,1,0.9666666666666667,True,True,0,1
86726,id,19,9,0.9500000000000001,True,True,0,1,0.9166666666666666,True,True,0,1,0.8833333333333333,True,True,0,1
86728,id,20,9,0.9833333333333333,True,True,0,1,0.9666666666666667,True,True,0,1,0.9833333333333333,True,True,0,1
86733,id,17,9,1.0,True,True,0,1,0.9500000000000001,True,True,0,1,0.9833333333333333,True,True,0,1
86736,id,18,9,0.9833333333333333,True,True,0,1,0.8666666666666667,True,True,0,1,0.9833333333333333,True,True,0,1
86752,id,21,9,1.0,True,True,0,1,0.35,False,False,3,1,0.33333333333333337,True,True,0,2
86762,id,21,9,0.9666666666666667,True,True,0,1,0.43333333333333335,False,True,3,5,0.8333333333333333,True,True,0,2
86774,id,21,9,0.9166666666666666,True,True,0,1,-0.13333333333333333,False,False,1,4,0.38333333333333336,False,False,1,2
86798,id,23,9,0.9333333333333332,True,True,0,1,0.8833333333333333,True,True,0,3,0.9,False,True,1,4
86802,id,23,9,0.9833333333333333,True,True,0,1,0.9333333333333332,False,True,2,5,0.9500000000000001,False,False,1,1
86817,id,22,9,0.9833333333333333,True,True,0,1,0.9333333333333332,True,True,0,4,0.9666666666666667,True,True,0,1
86830,id,20,9,0.9333333333333332,True,True,0,1,0.9666666666666667,True,True,0,1,0.9833333333333333,True,True,0,1
86835,id,22,9,0.9833333333333333,True,True,0,1,0.8666666666666667,True,True,0,4,0.9333333333333332,False,True,1,2
86862,id,19,9,1.0,True,True,0,1,1.0,True,True,0,1,0.9833333333333333,True,True,0,1
86878,id,22,9,0.9833333333333333,True,True,0,1,0.8166666666666667,True,True,0,4,0.9333333333333332,True,True,0,1
86883,id,21,9,1.0,True,True,0,1,0.9166666666666666,False,True,1,6,0.9833333333333333,True,True,0,2
86902,id,24,9,0.9833333333333333,True,True,0,1,0.9333333333333332,True,True,0,3,0.8499999999999999,True,True,0,1
86912,id,20,9,0.9833333333333333,True,True,0,1,0.8833333333333333,True,True,0,1,0.9500000000000001,True,True,0,2
86925,id,17,9,0.9500000000000001,True,True,0,1,0.8833333333333333,True,True,0,1,1.0,True,True,0,1
86931,id,18,9,1.0,True,True,0,1,1.0,True,True,0,1,1.0,True,True,0,1
86941,id,21,9,1.0,True,True,0,1,0.9833333333333333,True,True,0,1,1.0,True,True,0,1
86946,id,20,9,1.0,True,True,0,1,0.9666666666666667,True,True,0,1,1.0,True,True,0,1
86956,id,19,9,0.9833333333333333,True,True,0,1,1.0,True,True,0,1,1.0,True,True,0,1
86958,id,19,9,0.9833333333333333,True,True,0,1,0.9833333333333333,True,True,0,1,0.9833333333333333,True,True,0,1
86966,id,22,9,1.0,True,True,0,1,0.9166666666666666,False,True,1,5,0.9833333333333333,True,True,0,2
86973,id,20,9,1.0,True,True,0,1,0.9,False,True,2,4,0.9833333333333333,True,True,0,1
86975,id,19,9,1.0,True,True,0,1,1.0,True,True,0,1,0.9333333333333332,False,False,1,1
86981,id,20,9,1.0,True,True,0,1,0.8166666666666667,True,True,0,3,0.8833333333333333,False,True,1,5
87008,id,19,9,0.9666666666666667,True,True,0,1,0.9833333333333333,True,True,0,1,1.0,True,True,0,1
87011,id,18,9,0.9666666666666667,True,True,0,1,0.9500000000000001,True,True,0,1,0.9333333333333332,True,True,0,1
87017,id,17,9,1.0,True,True,0,1,0.9500000000000001,True,True,0,1,0.9833333333333333,True,True,0,1
87018,id,20,9,0.9500000000000001,True,True,0,1,0.9500000000000001,True,True,0,1,0.9666666666666667,True,True,0,1
87022,id,19,9,1.0,True,True,0,1,0.9833333333333333,True,True,0,1,0.9833333333333333,True,True,0,1
87066,id,19,9,1.0,True,True,0,1,0.9833333333333333,True,True,0,1,0.9833333333333333,True,True,0,1
87072,id,23,9,1.0,True,True,0,1,0.9166666666666666,False,True,2,3,0.9833333333333333,True,True,0,1
87077,id,22,9,0.9500000000000001,False,True,1,2,0.7166666666666667,False,True,2,4,0.8666666666666667,True,True,0,3
87087,id,22,9,0.9833333333333333,True,True,0,1,0.9666666666666667,False,True,1,4,0.9333333333333332,True,True,0,3
87094,id,19,9,1.0,True,True,0,1,0.9166666666666666,True,True,0,5,1.0,True,True,0,2
87102,id,18,9,1.0,True,True,0,1,1.0,True,True,0,1,0.9833333333333333,True,True,0,1
87105,id,19,9,1.0,True,True,0,1,0.9666666666666667,True,True,0,1,nan,False,False,7,1
87106,id,18,9,1.0,True,True,0,2,0.5166666666666667,True,True,0,1,0.6666666666666667,False,True,1,2
87111,id,17,9,1.0,True,True,0,1,1.0,True,True,0,1,0.9333333333333332,True,True,0,3
87132,id,17,9,0.9833333333333333,True,True,0,1,0.9833333333333333,True,True,0,1,1.0,True,True,0,1
87135,id,18,9,1.0,True,True,0,1,0.9833333333333333,True,True,0,1,1.0,True,True,0,1
87142,id,14,9,1.0,True,True,0,1,1.0,True,True,0,1,0.9833333333333333,True,True,0,1
87153,id,16,9,0.9833333333333333,True,True,0,1,1.0,True,True,0,1,1.0,True,True,0,1
87158,id,27,9,1.0,True,True,0,2,0.9833333333333333,False,True,1,3,0.9833333333333333,True,True,0,1
87169,id,21,9,1.0,True,True,0,1,0.8666666666666667,True,True,0,1,0.9333333333333332,False,True,1,3
87182,id,22,9,1.0,True,True,0,1,0.7,False,True,4,5,0.9500000000000001,False,True,1,2
87186,id,23,9,1.0,True,True,0,1,0.9500000000000001,False,True,2,4,0.9833333333333333,True,True,0,2
87189,id,24,9,0.9833333333333333,True,True,0,1,0.9,True,True,0,4,0.9666666666666667,True,True,0,2
87208,id,24,9,1.0,True,True,0,1,0.9,False,True,2,4,0.9333333333333332,True,True,0,2
87210,id,22,9,1.0,True,True,0,1,0.9333333333333332,True,True,0,4,0.9,False,True,1,4
87221,id,19,9,0.9833333333333333,True,True,0,1,0.7333333333333334,True,True,0,2,0.9666666666666667,False,True,1,2
87263,id,24,9,0.9833333333333333,True,True,0,1,0.7666666666666667,True,True,0,3,0.7666666666666667,False,False,1,3
87285,id,21,9,1.0,True,True,0,1,0.5499999999999999,True,True,0,1,0.7,True,True,0,1
87287,id,21,9,0.9833333333333333,True,True,0,1,0.75,True,True,0,1,1.0,True,True,0,1
87293,id,19,9,0.9666666666666667,True,True,0,1,0.9833333333333333,True,True,0,1,0.9833333333333333,True,True,0,1
87300,id,21,9,1.0,True,True,0,1,0.5333333333333333,True,True,0,2,0.7,True,True,0,2
87302,id,20,9,1.0,True,True,0,1,0.06666666666666667,True,True,0,1,0.48333333333333334,True,True,0,1
87305,id,20,9,0.9500000000000001,True,True,0,1,0.9833333333333333,True,True,0,2,1.0,True,True,0,2
87306,id,19,9,0.9333333333333332,True,True,0,1,0.8166666666666667,True,True,0,2,0.9833333333333333,True,True,0,2
87320,id,20,9,0.9666666666666667,True,True,0,1,1.0,True,True,0,1,0.9833333333333333,True,True,0,1
87344,id,19,9,1.0,True,True,0,1,0.9166666666666666,True,True,0,1,1.0,True,True,0,1
87373,id,20,9,1.0,True,True,0,1,1.0,True,True,0,1,1.0,True,True,0,1
87378,id,18,9,0.9666666666666667,True,True,0,1,1.0,True,True,0,1,0.9833333333333333,True,True,0,1
