ckpt,features,target,alpha,cov_marg,w_marg,cov_norm,w_norm,cov_mond_flag,w_mond_flag,cov_mond_gap,w_mond_gap,cov_intr_marg,cov_intr_mond,selected,fdp,power
id,spectral,FDR,0.05,,,,,,,,,,,0.9839099999999998,0.050840908275953146,1.0
id,fock,eps_HOMO,0.1,0.90107,1.448915952171895,0.89855,1.298535148492665,0.9013399999999999,1.3106284570497,0.90148,1.2284290798511701,0.6140871397073505,0.82342166092134,,,
id,fock,eps_HOMO,0.05,0.9519300000000002,1.943983081131825,0.9496399999999999,1.7549956047011641,0.9496100000000001,1.5900609817910047,0.9499600000000001,1.4502395746764702,0.6713501884538571,0.9065223311542739,,,
id,fock,eps_LUMO,0.1,0.9015699999999999,4.705839451828416,0.8983799999999998,2.4786837707210516,0.90134,3.1115908097535905,0.9020699999999999,3.2621194801753446,0.015888516503193357,0.8218008974606239,,,
id,fock,eps_LUMO,0.05,0.9494499999999999,41.37587486492203,0.95048,3.195979262162313,0.9495799999999999,3.790216835681855,0.95099,4.664549752601376,0.22143789093300908,0.9061208395871464,,,
id,fock,gap,0.1,0.9011799999999999,5.934144011821284,0.90167,3.2633383941949,0.90114,4.063649656738249,0.9007999999999999,4.123152774304335,0.019769893446177363,0.8204588439639862,,,
id,fock,gap,0.05,0.9493799999999999,41.7168560381006,0.94945,4.420084550219012,0.9509399999999999,4.88654916423374,0.9514700000000001,5.59233032266468,0.22054338656237288,0.9088060552222832,,,
id,fock,sB_HOMO,0.1,0.90144,0.04050469531892302,0.9001899999999999,0.033244849451122264,0.9008099999999999,0.02994965574933998,0.90174,0.034699359409683224,0.42155059991114535,0.8194378696318628,,,
id,fock,sB_HOMO,0.05,0.95074,0.07018665359641865,0.9496099999999998,0.04070812890713726,0.9503199999999999,0.040100329868732555,0.95138,0.04725099038376647,0.5468471327991427,0.9059269621739252,,,
id,fock,sB_LUMO,0.1,0.9001500000000002,0.19514686194821315,0.8996699999999999,0.09124164656335117,0.9006000000000001,0.09631121767089289,0.9016,0.1615088184714057,0.0,0.8150687844245011,,,
id,fock,sB_LUMO,0.05,0.94946,0.9805854525737419,0.9494400000000001,0.19491016160554747,0.95052,0.13129999325793718,0.9507399999999999,0.2873637544234081,0.22020593810687855,0.9037662298850183,,,
id,fock,F1_HOMO,0.1,0.90093,1.3188564297528598,0.9008099999999999,1.0372945253419479,0.9014,1.08231641255147,0.90044,1.1452068651049199,0.4016197412137167,0.817259538507346,,,
id,fock,F1_HOMO,0.05,0.9504699999999999,2.004369790717065,0.9499899999999999,1.2533114726100594,0.95102,1.35531129215697,0.95001,1.4653770165372697,0.4791427041694781,0.905546364285434,,,
id,fock,F1_LUMO,0.1,0.90181,1.3039787583186648,0.8999400000000002,0.994964066924795,0.89951,1.028098488912005,0.9006400000000001,1.1004188489225049,0.4547655550485808,0.8191600589990617,,,
id,fock,F1_LUMO,0.05,0.95128,1.9651992718691695,0.9508500000000002,1.245749534290468,0.9510100000000001,1.35852716605243,0.95052,1.38924960557459,0.5254262916725867,0.90762040996132,,,
id,fock,F1_gap,0.1,0.9003899999999998,1.5193014922768568,0.9003300000000001,1.1595282575045343,0.90116,1.2292250975632422,0.90255,1.1930827718493537,0.4986647962192146,0.8238689168946015,,,
id,fock,F1_gap,0.05,0.95095,2.27190752777557,0.9513400000000001,1.4485148178035707,0.9510200000000001,1.639763053253558,0.9505800000000001,1.5931025082463612,0.5659132644594858,0.9138899008989444,,,
id,fock,FDR,0.002,,,,,,,,,,,0.72943,0.001797987163921003,0.7796609343864767
